"Item","Price1","Price2","Price3","Price4","Price5","Price6","Price 7","Price8"
"Death Lotus chaps",6600000,6600000,6300000,6300000,6300000,6300000,6300000,6300000
"Death Lotus chestplate",8200000,8200000,8e+06,8e+06,8e+06,8e+06,8e+06,8e+06
"Death lotus extract",62700,62700,65300,65300,65300,65300,65300,65300
"Death Lotus hood",3500000,3500000,3300000,3300000,3100000,3e+06,3e+06,3e+06
"Death notes",1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000
"Death rune",229,227,219,219,220,230,230,230
"Death talisman",1098,1098,1076,1076,1122,1137,1137,1137
"Death tiara",2294,2294,2294,2294,2294,2294,2294,2294
"Deathtouch bracelet",25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000
"Decimation",64400000,64400000,64400000,64400000,67200000,67200000,67200000,67200000
"Decorated cooking urn (n...",5218,5218,5077,5077,5025,5086,5086,5086
"Decorated divination urn...",5097,5097,4842,4842,4710,4652,4652,4652
"Decorated farming urn (n...",4792,4792,4931,4931,4941,5010,5010,5010
"Decorated fishing urn (n...",4791,4791,4819,4819,4963,4822,4822,4822
"Decorated hunter urn (nr...",5243,5243,5106,5106,5106,5140,5140,5140
"Decorated mining urn (nr...",5069,5069,5344,5344,5234,5023,5023,5023
"Decorated runecrafting u...",4273,4273,4259,4259,4454,4454,4454,4454
"Decorated smelting urn (...",2843,2941,2941,2941,2941,3080,3080,3080
"Decorated woodcutting ur...",4835,4965,5058,5058,4978,4790,4790,4790
"Defence flask (6)",10700,10700,10700,10700,10700,10700,10700,10700
"Defence mix (1)",791,791,791,791,791,791,791,791
"Defence mix (2)",624,624,624,624,624,624,624,624
"Defence potion (1)",690,690,690,690,690,725,725,725
"Defence potion (2)",1330,1330,1330,1330,1330,1330,1330,1330
"Defence potion (3)",2500,2500,2500,2500,2500,2500,2500,2500
"Defence potion (4)",4433,4433,4433,4433,4433,4537,4537,4537
"Delicious honeycomb",4767,4767,4767,4767,4767,4767,4767,4767
"Demon claw",18200,18200,18700,18700,18700,18400,18400,18400
"Demon Slayer ability cod...",17900000,17900000,17900000,17900000,17900000,17900000,17900000,17900000
"Demon slayer boots",99000,99000,99000,99000,98400,98400,98400,98400
"Demon slayer circlet",57000,57000,55600,55600,55600,55600,55600,55600
"Demon slayer crossbow",91700,91700,91800,91800,91800,91800,91800,91800
"Demon slayer gloves",4700000,4700000,4500000,4500000,4500000,4300000,4300000,4300000
"Demon slayer skirt",56800,56800,57500,57500,57500,57500,57500,57500
"Demon slayer torso",80600,80600,81100,81100,81100,81100,81100,81100
"Demonhide",1359,1359,1384,1384,1398,1419,1419,1419
"Demonic title scroll (bl...",58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000
"Demonic title scroll (ca...",3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000
"Demonic title scroll (co...",4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000
"Demonic title scroll (de...",4e+06,4e+06,4e+06,4e+06,4e+06,4e+06,4e+06,4e+06
"Demonic title scroll (ex...",10200000,10200000,10200000,10200000,10200000,10200000,10200000,10200000
"Demonic title scroll (fr...",162400000,162400000,162400000,162400000,162400000,162400000,162400000,162400000
"Demonic title scroll (ge...",13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000
"Demonic title scroll (gl...",26400000,26400000,26400000,26400000,26400000,26400000,26400000,26400000
"Demonic title scroll (in...",1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000
"Demonic title scroll (ob...",4e+06,4e+06,4e+06,4e+06,4e+06,4e+06,4e+06,4e+06
"Demonic title scroll (pe...",2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000
"Demonic title scroll (re...",2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
"Demonic title scroll (sh...",16500000,16500000,16500000,16500000,16500000,16500000,16500000,16500000
"Demonic title scroll (te...",5400000,5500000,5500000,5500000,5500000,5500000,5500000,5500000
"Demonic title scroll (th...",96700000,96700000,96700000,96700000,96700000,96700000,96700000,96700000
"Dense honeycomb",16,16,16,16,16,16,16,16
"Desert boots",168,168,168,168,166,166,166,166
"Desert camo legs",1253,1253,1253,1253,1253,1253,1253,1253
"Desert camo top",1191,1191,1191,1191,1191,1191,1191,1191
"Desert devil fur",20,20,20,20,20,20,20,20
"Desert goat horn",4288,4288,4424,4424,4424,4306,4306,4306
"Desert legs",2821,2821,2821,2821,2821,2821,2821,2821
"Desert robe",621,621,621,621,644,644,644,644
"Desert robes",5042,5042,5042,5042,5042,5042,5042,5042
"Desert shirt",246,246,243,243,243,243,243,243
"Desert sole",80,80,79,79,79,79,79,79
"Desert top",2060,2060,2060,2060,2060,2060,2060,2060
"Desert wyrm pouch",822,822,822,822,827,827,827,827
"Devil's snare seed",663,663,663,663,663,663,663,663
"Dharok's greataxe",490600,490600,490600,490600,487700,487700,487700,487700
"Dharok's greataxe (broke...",288300,288300,288300,288300,288300,288300,288300,288300
"Dharok's helm",380600,380600,380600,380600,380600,380600,380600,380600
"Dharok's helm (broken)",123000,123000,123000,123000,123000,123000,123000,123000
"Dharok's platebody",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Dharok's platebody (brok...",2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
"Dharok's platelegs",648200,648200,648200,648200,648200,649600,649600,649600
"Dharok's platelegs (brok...",692200,692200,692200,692200,692200,692200,692200,692200
"Diamond",3632,3534,3720,3720,3868,3888,3888,3888
"Diamond amulet",3262,3262,3262,3262,3262,3262,3262,3262
"Diamond bakriminel bolts...",2034,2084,2084,2084,2084,2084,2084,2084
"Diamond bolt tips",439,439,420,420,406,389,389,389
"Diamond bolts",456,456,440,440,440,440,440,440
"Diamond bolts (e)",474,474,474,474,483,483,483,483
"Diamond bracelet",4769,4769,4769,4769,4769,4935,4935,4935
"Diamond necklace",6295,6378,6523,6523,6327,6091,6091,6091
"Diamond ring",5661,5661,5622,5622,5749,5660,5660,5660
"Dinosaur bones",10300,10300,10700,10700,10900,11100,11100,11100
"Dinosaur claws",416,416,413,413,405,406,406,406
"Dinosaur hide",137500,137200,137300,137300,137300,138300,138300,138300
"Dinosaur leather",126900,126900,126900,126900,126900,126900,126900,126900
"Dinosaur scale",17,17,17,17,17,18,18,18
"Dinosaurhide body",717000,717000,717000,717000,717000,717000,717000,717000
"Dinosaurhide boots",332400,332400,332400,332400,332400,332400,332400,332400
"Dinosaurhide chaps",442400,442400,421100,421100,421100,421100,421100,421100
"Dinosaurhide cowl",436900,436900,436900,436900,436900,436900,436900,436900
"Dinosaurhide gloves",395300,395300,395300,395300,395300,395300,395300,395300
"Diseased jadinko (unchec...",2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000
"Diseased kebbit fur",8,8,8,8,8,8,8,8
"Disk of returning",958600000,958600000,958600000,958600000,958600000,958600000,958600000,958600000
"Dissolve scroll",213,213,213,213,213,213,213,213
"Divination flask (6)",5294,5294,5294,5294,5294,5294,5294,5294
"Divination potion (1)",6115,6115,6115,6115,6115,6115,6115,6115
"Divination potion (2)",12000,12000,12000,12000,12000,12000,12000,12000
"Divination potion (3)",26000,27000,27000,27000,27000,27000,27000,27000
"Divination potion (4)",27800,27800,27800,27800,27800,27800,27800,27800
"Divine charge",95900,99300,94600,94600,92000,86300,86300,86300
"Divine charge (empty)",20100,20100,20800,20800,20800,20400,20400,20400
"Divine impling jar",51300,51300,51300,51300,51300,51300,51300,51300
"Divine sigil",4600000,4600000,4600000,4600000,4600000,4600000,4600000,4600000
"Divine sigil shard",10500,10500,10500,10500,10500,10500,10500,10500
"Divine spirit shield",7600000,7600000,7600000,7600000,7600000,7600000,7600000,7600000
"Dizzy stick teleport tok...",90600,90600,94800,94800,94800,94800,94800,94800
"Dizzy stick token",41100000,41100000,41100000,41100000,41100000,41100000,41100000,41100000
"Doomsphere scroll",196,196,196,196,196,196,196,196
"Dorgeshuun crossbow",2881,2881,2881,2881,2881,2881,2881,2881
"Dormant Anima Core body",122200,120700,118600,118600,118600,117700,117700,117700
"Dormant anima core body ...",2776,2776,2776,2776,2776,2776,2776,2776
"Dormant Anima Core helm",117300,117300,116200,116200,116200,115000,115000,115000
"Dormant anima core helm ...",2084,2084,2084,2084,2084,2084,2084,2084
"Dormant Anima Core legs",122200,121600,119200,119200,119200,115600,115600,115600
"Dormant anima core legs ...",3287,3287,3287,3287,3287,3287,3287,3287
"Dormant Seren godbow",14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000
"Dormant staff of Sliske",31200000,31200000,31200000,31200000,31200000,31200000,31200000,31200000
"Dormant Zaros godsword",54400000,54400000,54400000,54400000,54400000,54400000,54400000,54400000
"Double Escape codex (tra...",49400000,49400000,49400000,49400000,49400000,49400000,49400000,49400000
"Double pirate hooks",44200000,44200000,44200000,44200000,44200000,44200000,44200000,44200000
"Double Surge codex (trad...",43100000,43100000,43100000,43100000,41100000,41100000,41100000,41100000
"Doughnut",1614,1614,1614,1614,1614,1614,1614,1614
"Draconic energy",279000,277900,269900,269900,277000,290600,290600,290600
"Draconic jadinko (unchec...",6100000,6100000,6100000,6100000,6100000,6100000,6100000,6100000
"Draconic visage",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Dragon 2h crossbow",3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000
"Dragon 2h sword",143000,143000,141400,141400,141400,139600,139600,139600
"Dragon arrow",234,234,232,232,238,238,238,238
"Dragon arrowheads",361,367,338,338,327,298,298,298
"Dragon bane 2h sword",2e+06,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06
"Dragon bane longsword",1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000
"Dragon bane off hand lon...",2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
"Dragon bane square shiel...",2e+06,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06
"Dragon battleaxe",118900,118900,119400,119400,119400,121900,121900,121900
"Dragon battlestaff",327100,327100,327100,327100,327100,327100,327100,327100
"Dragon bitter",10700,10700,10700,10700,10700,10700,10700,10700
"Dragon bitter (1)",1806,1806,1806,1806,1806,1806,1806,1806
"Dragon bitter (2)",3359,3359,3359,3359,3359,3359,3359,3359
"Dragon bitter (3)",4861,4861,4861,4861,4861,4861,4861,4861
"Dragon bitter (4)",5551,5551,5551,5551,5551,5551,5551,5551
"Dragon bitter (m)",4332,4332,4332,4332,4332,4332,4332,4332
"Dragon bitter (m1)",2207,2207,2207,2207,2207,2207,2207,2207
"Dragon bitter (m2)",4163,4163,4163,4163,4163,4163,4163,4163
"Dragon bitter (m3)",6448,6448,6448,6448,6448,6448,6448,6448
"Dragon bitter (m4)",9728,9728,9728,9728,9728,9728,9728,9728
"Dragon bolt tips",198,198,198,198,201,204,204,204
"Dragon bolts",418,418,418,418,402,402,402,402
"Dragon bolts (e)",323,323,321,321,319,319,319,319
"Dragon bones",2030,2014,1992,1992,2000,2001,2001,2001
"Dragon boots",11500,11500,11400,11400,11000,10800,10800,10800
"Dragon cane",655500,655500,687400,687400,687400,687400,687400,687400
"Dragon chain armour set ...",440200,440200,523500,523500,523500,523500,523500,523500
"Dragon chainbody",152700,152700,155900,155900,155900,155900,155900,155900
"Dragon claw",70000,70000,77200,77200,81000,84900,84900,84900
"Dragon crossbow",10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000
"Dragon crossbow (u)",7e+06,7e+06,7e+06,7e+06,7e+06,7e+06,7e+06,7e+06
"Dragon dagger",17600,17600,17500,17500,17400,17500,17500,17500
"Dragon dart",138,138,132,132,132,134,134,134
"Dragon dart tip",973,950,940,940,923,913,913,913
"Dragon fire arrows",2003,2003,2003,2003,2003,2003,2003,2003
"Dragon full helm",925600,925600,925600,925600,968400,968400,968400,968400
"Dragon full helm ornamen...",5278,5278,5453,5453,5453,5453,5453,5453
"Dragon gauntlets",29900,30100,30100,30100,30600,30600,30600,30600
"Dragon halberd",201800,201800,210400,210400,210400,210400,210400,210400
"Dragon hasta",28700,28700,28600,28600,28600,28600,28600,28600
"Dragon hatchet",3100000,3100000,3200000,3200000,3300000,3200000,3200000,3200000
"Dragon hatchet shard",12600,12600,12600,12600,12600,12600,12600,12600
"Dragon helm",58700,58600,58000,58000,58400,58300,58300,58300
"Dragon impling jar",154800,154800,154800,154800,154800,154800,154800,154800
"Dragon javelin",360,360,360,360,360,360,360,360
"Dragon kite ornament kit...",16400,16400,11400,11400,11400,11400,11400,11400
"Dragon kiteshield",326700,326700,326700,326700,326700,334300,334300,334300
"Dragon knife",1531,1531,1531,1531,1531,1510,1510,1510
"Dragon limbs",7700000,7700000,7700000,7700000,7700000,7700000,7700000,7700000
"Dragon limbs shard",107200,107200,107200,107200,107200,107200,107200,107200
"Dragon longsword",57800,57700,57200,57200,57500,57400,57400,57400
"Dragon mace",28800,28800,28800,28800,29000,29000,29000,29000
"Dragon mattock",32700000,32700000,32500000,32500000,33600000,3.5e+07,3.5e+07,3.5e+07
"Dragon pickaxe",2500000,2500000,2600000,2600000,2700000,2700000,2700000,2700000
"Dragon plate armour set ...",3100000,3100000,3500000,3500000,3500000,3500000,3500000,3500000
"Dragon platebody",1400000,1400000,1500000,1500000,1500000,1500000,1500000,1500000
"Dragon platebody ornamen...",5944,5944,7891,7891,7891,7925,7925,7925
"Dragon platelegs",159600,159600,161300,161300,162100,161400,161400,161400
"Dragon platelegs/skirt o...",498500,498500,521300,521300,521300,546800,546800,546800
"Dragon plateskirt",160900,161600,165600,165600,165600,168700,168700,168700
"Dragon Rider body",319700,319700,319700,319700,319700,319700,319700,319700
"Dragon rider boots",911600,911600,911600,911600,911600,911600,911600,911600
"Dragon Rider cape",334300,334300,349300,349300,349300,349300,349300,349300
"Dragon Rider chaps",306100,306100,306100,306100,306100,306100,306100,306100
"Dragon rider gloves",374800,374800,374800,374800,374800,374800,374800,374800
"Dragon Rider helm",173500,173500,173500,173500,173500,173500,173500,173500
"Dragon Rider kit",842300,842300,842300,842300,842300,842300,842300,842300
"Dragon Rider lance",50700000,50700000,48400000,48400000,46100000,41600000,41600000,41600000
"Dragon rider lance shard...",176900,176900,176900,176900,176900,176900,176900,176900
"Dragon scale dust",1118,1118,1123,1123,1077,989,989,989
"Dragon scimitar",60800,60800,60800,60800,61600,61600,61600,61600
"Dragon Slayer ability co...",32300000,32300000,32300000,32300000,32300000,32300000,32300000,32300000
"Dragon spear",35400,35400,35200,35200,35400,35800,35800,35800
"Dragon sq shield",651800,651800,651800,651800,682000,682000,682000,682000
"Dragon sq shield ornamen...",10400,10400,10900,10900,10900,11400,11400,11400
"Dragon staff",737300,737300,771600,771600,771600,809900,809900,809900
"Dragon throwing axe",424,424,424,424,424,434,434,434
"Dragon ward",29400,29400,28300,28300,28300,28300,28300,28300
"Dragon warhammer",117800,117800,117800,117800,117800,117800,117800,117800
"Dragonbone upgrade kit",15200,15200,15200,15200,15200,14600,14600,14600
"Dragonfire deflector",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Dragonfire shield",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Dragonfire ward",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Dragonfruit",22200,21300,21300,21300,20400,20400,20400,20400
"Dragonfruit seed",1552,1552,1466,1466,1421,1327,1327,1327
"Dragonstone",7373,7255,7425,7425,7482,7522,7522,7522
"Dragonstone amulet",11000,11000,8991,8991,8991,8991,8991,8991
"Dragonstone bakriminel b...",4092,4092,3993,3993,3993,3993,3993,3993
"Dragonstone boots",4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000
"Dragonstone bracelet",10100,10100,10100,10100,10000,10000,10000,10000
"Dragonstone dragon mask",697900,697900,731600,731600,731600,731600,731600,731600
"Dragonstone gauntlets",5700000,5700000,5500000,5500000,5500000,5500000,5500000,5500000
"Dragonstone greaves",6200000,6200000,6200000,6200000,6200000,6200000,6200000,6200000
"Dragonstone hauberk",12500000,12500000,12500000,12500000,12500000,12500000,12500000,12500000
"Dragonstone helm",7e+06,7e+06,7e+06,7e+06,7e+06,7e+06,7e+06,7e+06
"Dragonstone necklace",9683,9683,9606,9606,9606,9606,9606,9606
"Dragonstone ring",9204,9204,9204,9204,9204,9204,9204,9204
"Drakolith",3904,3904,3874,3874,3843,3781,3781,3781
"Drakolith stone spirit",399,380,354,354,347,314,314,314
"Dreadfowl pouch",281,281,281,281,270,270,270,270
"Dreadfowl Strike scroll",27,27,27,27,27,27,27,27
"Druid's robe",94,94,125,125,125,125,125,125
"Druidic mage bottom 0",63300,63300,63300,63300,63300,63300,63300,63300
"Druidic mage hood 0",5979,5979,5979,5979,5979,5979,5979,5979
"Druidic mage top 0",69400,69400,69400,69400,69400,69400,69400,69400
"Drunk Dragon",8203,8203,8479,8479,8479,8479,8479,8479
"Drygore longsword",31300000,32600000,3.4e+07,3.4e+07,35500000,37100000,37100000,37100000
"Drygore longsword shard",119300,119300,119300,119300,119300,119300,119300,119300
"Drygore mace",18400000,19300000,2.1e+07,2.1e+07,2.2e+07,2.3e+07,2.3e+07,2.3e+07
"Drygore mace shard",57600,57600,57600,57600,57600,57600,57600,57600
"Drygore rapier",16400000,16400000,17900000,17900000,18700000,20400000,20400000,20400000
"Drygore rapier shard",100900,100900,100900,100900,100900,100900,100900,100900
"Duck ring token",2400000,2300000,2100000,2100000,2e+06,1800000,1800000,1800000
"Dust Cloud scroll",881,844,810,810,810,780,780,780
"Dust of Armadyl",3046,3046,3046,3046,3046,3046,3046,3046
"Dust rune",1001,1001,982,982,982,982,982,982
"Dwarf cannon set",817700,817700,817700,817700,826400,826400,826400,826400
"Dwarf weed incense stick...",20300,20300,20300,20300,20300,20300,20300,20300
"Dwarf weed potion (unf)",12300,12300,12500,12500,12500,11900,11900,11900
"Dwarf weed seed",1307,1347,1424,1424,1454,1458,1458,1458
"Dwarven helmet",34500,34500,34500,34500,34500,34500,34500,34500
"Dwarven stout",145,145,145,145,150,150,150,150
"Dwarven stout (1)",3088,3088,3088,3088,3088,3088,3088,3088
"Dwarven stout (2)",3844,3844,3844,3844,3844,3844,3844,3844
"Dwarven stout (3)",6291,6291,6291,6291,6291,6291,6291,6291
"Dwarven stout (4)",9638,9638,9638,9638,9638,9638,9638,9638
"Dwarven stout (m)",211,214,220,220,220,224,224,224
"Dwarven stout (m1)",28300,28300,28300,28300,28300,28300,28300,28300
"Dwarven stout (m2)",8001,8001,8001,8001,8001,8001,8001,8001
"Dwarven stout (m3)",87700,87700,87700,87700,87700,87700,87700,87700
